Question,Correct Answer
"Consider the following dynamic programming code snippet for solving the 0/1 Knapsack problem:

def knapsack(values, weights, capacity, n):
    if n == 0 or capacity == 0:
        return 0
    if weights[n-1] > capacity:
        return knapsack(values, weights, capacity, n-1)
    else:
        return max(values[n-1] + knapsack(values, weights, capacity-weights[n-1], n-1),
                   knapsack(values, weights, capacity, n-1))
Given the values [60, 100, 120] and weights [10, 20, 30], what would be the output of calling knapsack(values, weights, 50, 3)?

A) 180
B) 220
C) 280
D) 300",D) 300
"Consider a CSMA/CD network that transmits data at a rate of 100 Mbps (10⁸ bits per second) over a 1 km (kilometre) cable with no repeaters. If the minimum frame size required for this network is 1250 bytes, what is the signal speed (km/sec) in the cable?

A) 8000
B) 10000
C) 16000
D) 20000",D) 20000
"Consider a network using the pure ALOHA medium access control protocol, where each frame is of length 1,000 bits. The channel transmission rate is 1 Mbps (=10⁶ bits per second). The aggregate number of transmissions across all the nodes (including new frame transmissions and retransmitted frames due to collisions) is modelled as a Poisson process with a rate of 1,000 frames per second. Throughput is defined as the average number of frames successfully transmitted per second. The throughput of the network (rounded to the nearest integer) is ______________ .

A) 130 to 140
B) 140 to 150
C) 120 to 130
D) 100 to 110",A) 130 to 140
"Consider a link with packet loss probability of 0.2. What is the expected number of transmissions it would take to transfer 200 packets given that the stop and wait protocol is used?

A) 125
B) 250
C) 225
D) 150",B) 250
"Assume that Source S and Destination D are connected through an intermediate router R. How many times a packet has to visit the network layer and data link layer during a transmission from S to D?

A) Network layer – 4 times, Data link layer – 4 times
B) Network layer – 4 times, Data link layer – 6 times
C) Network layer – 2 times, Data link layer – 4 times
D) Network layer – 3 times, Data link layer – 4 times







","D) Network layer – 3 times, Data link layer – 4 times"
"Two computers C1 and C2 are configured as follows. C1 has IP address 203.197.2.53 and netmask 255.255.128.0. C2 has IP address 203.197.75.201 and netmask 255.255.192.0. Which one of the following statements is true?

A) C1 and C2 both assume they are on the same network
B) C2 assumes C1 is on same network, but C1 assumes C2 is on a different network
C) C1 assumes C2 is on same network, but C2 assumes C1 is on a different network
D) C1 and C2 both assume they are on different networks","C) C1 assumes C2 is on same network, but C2 assumes C1 is on a different network"
"Station A needs to send a message consisting of 9 packets to Station B using a sliding window (window size 3) and go-back-n error control strategy. All packets are ready and immediately available for transmission. If every 5th packet that A transmits gets lost (but no ACKs from B ever get lost), then what is the number of packets that A will transmit for sending the message to B?

A) 12
B) 14
C) 16
D) 18",C) 16
"Station A uses 32 byte packets to transmit messages to Station B using a sliding window protocol. The round trip delay between A and B is 80 milliseconds and the bottleneck bandwidth on the path between A and B is 128 kbps. What is the optimal window size that A should use?

A) 20
B) 40
C) 160
D) 320",B) 40
"Using public key cryptography, X adds a digital signature σ to a message M, encrypts (M, σ) and sends it to Y, where it is decrypted. Which one of the following sequence of keys is used for operations?

A) Encryption: X’s private key followed by Y’s private key. Decryption: X’s public key followed by Y’s public key.
B) Encryption: X’s private key followed by Y’s public key. Decryption: X’s public key followed by Y’s private key.
C) Encryption: X’s private key followed by Y’s public key. Decryption: Y’s private key followed by X’s public key.
D) Encryption: X’s public key followed by Y’s private key. Decryption: Y’s public key followed by X’s private key.",C) Encryption: X’s private key followed by Y’s public key. Decryption: Y’s private key followed by X’s public key.
"The address of a class B host is to be split into subnets with a 6-bit subnet number. What is the maximum number of subnets and the maximum number of hosts in each subnet?

A) 62 subnets and 262142 hosts
B) 64 subnets and 262142 hosts
C) 64 subnets and 1024 hosts
D) 62 subnets and 1022 hosts
",D) 62 subnets and 1022 hosts
