Correct Choice,baichuan
B,B
C,D
C,B
A,A
B,_
A,A
B,B
A,C
A,A
B,B
D,D
A,A
A,A
A,A
D,D
A,A
D,D
B,B
C,A
D,A
C,C
B,B
B,B
C,C
A,A
B,A
D,D
C,A
B,B
A,A
D,D
B,B
B,A
C,B
A,A
B,B
A,A
A,A
A,A
C,C
B,A
B,A
C,C
B,B
C,C
B,A
A,A
C,A
D,D
A,A
B,C
B,A
C,B
D,D
A,A
B,B
B,B
D,A
B,B
B,A
D,A
C,C
B,B
B,B
C,C
C,C
C,C
A,B
B,A
A,A
B,A
D,A
A,A
D,A
B,B
B,B
C,C
C,C
B,B
C,B
C,B
D,D
D,D
C,D
A,A
B,B
D,A
A,A
D,A
D,D
A,A
B,B
A,A
C,C
D,B
A,A
C,B
B,B
C,C
B,A
C,C
D,A
A,A
D,C
A,A
C,C
B,B
B,B
B,B
B,B
B,B
B,A
C,C
A,A
B,A
B,A
A,A
A,A
A,A
A,A
A,A
B,B
A,A
D,A
A,A
C,C
C,A
A,A
A,A
A,A
B,A
D,A
D,A
A,C
B,B
C,C
B,B
C,A
A,B
D,_
C,B
C,C
A,B
A,A
C,C
C,C
B,B
B,_
C,C
A,A
A,A
B,A
B,A
C,C
D,D
B,D
D,D
C,C
C,B
B,B
B,B
A,A
C,C
D,D
A,A
D,D
D,D
C,C
C,D
B,B
C,A
B,B
C,C
B,_
A,A
C,C
C,D
A,A
B,B
B,C
A,A
C,C
C,C
C,A
B,B
B,A
B,B
D,A
A,A
D,B
C,B
A,A
C,D
A,C
C,A
B,B
C,C
D,C
C,C
A,B
B,B
C,A
C,_
C,C
B,B
B,C
B,A
D,D
A,A
D,B
A,A
B,B
B,B
C,B
B,D
A,A
A,A
B,A
C,C
B,A
D,A
B,B
C,B
B,A
C,B
B,D
B,D
D,D
C,C
B,D
A,A
B,B
C,A
D,D
A,C
B,C
A,A
C,D
D,A
A,A
B,A
C,D
C,A
D,C
A,A
D,B
D,C
D,D
A,D
D,D
B,D
A,A
D,B
C,B
B,D
C,A
C,A
D,A
B,C
A,D
C,A
C,A
D,A
B,B
D,A
C,D
A,A
C,_
A,D
A,D
A,_
B,A
A,A
D,B
C,B
C,A
C,B
C,D
D,D
C,_
D,A
B,A
B,B
C,A
C,B
A,C
B,B
B,C
A,A
C,A
D,A
A,C
D,B
A,B
D,A
B,A
C,_
B,C
D,A
D,A
D,A
D,D
A,A
B,C
B,B
C,D
C,A
A,B
D,B
B,A
A,A
C,D
C,B
B,B
A,A
A,B
B,D
A,_
D,D
D,D
A,A
C,C
B,B
A,D
D,B
D,A
C,B
