Correct Choice,chatglm3
B,B
C,_
C,_
A,B
B,_
A,_
B,B
A,_
A,D
B,A
D,_
A,A
A,A
A,A
D,A
A,C
D,D
B,D
C,C
D,C
C,B
B,A
B,B
C,D
A,D
B,B
D,D
C,B
B,B
A,_
D,D
B,B
B,B
C,_
A,_
B,A
A,_
A,A
A,A
C,A
B,D
B,A
C,C
B,B
C,B
B,B
A,B
C,B
D,D
A,_
B,B
B,B
C,C
D,A
A,B
B,B
B,A
D,B
B,D
B,B
D,A
C,D
B,D
B,_
C,D
C,C
C,C
A,_
B,C
A,_
B,B
D,D
A,A
D,_
B,B
B,B
C,_
C,C
B,A
C,C
C,_
D,A
D,D
C,B
A,B
B,B
D,_
A,D
D,_
D,D
A,A
B,A
A,A
C,C
D,_
A,B
C,_
B,A
C,_
B,_
C,C
D,_
A,A
D,C
A,A
C,B
B,B
B,B
B,B
B,A
B,D
B,A
C,A
A,A
B,D
B,B
A,_
A,A
A,A
A,A
A,A
B,B
A,A
D,C
A,C
C,D
C,C
A,B
A,A
A,B
B,B
D,D
D,D
A,A
B,B
C,_
B,B
C,_
A,A
D,D
C,A
C,D
A,_
A,A
C,B
C,B
B,A
B,B
C,B
A,_
A,_
B,A
B,B
C,_
D,D
B,_
D,_
C,A
C,_
B,_
B,B
A,A
C,C
D,D
A,A
D,D
D,D
C,_
C,C
B,_
C,B
B,B
C,B
B,B
A,A
C,A
C,D
A,_
B,_
B,D
A,_
C,_
C,B
C,C
B,_
B,A
B,_
D,_
A,A
D,D
C,C
A,A
C,C
A,B
C,_
B,_
C,D
D,D
C,_
A,_
B,B
C,B
C,D
C,A
B,B
B,A
B,D
D,D
A,A
D,_
A,_
B,B
B,_
C,_
B,B
A,B
A,B
B,D
C,C
B,D
D,_
B,B
C,C
B,_
C,C
B,_
B,B
D,C
C,A
B,_
A,B
B,B
C,_
D,_
A,_
B,_
A,A
C,_
D,D
A,A
B,_
C,C
C,C
D,B
A,B
D,_
D,_
D,D
A,_
D,B
B,B
A,_
D,_
C,D
B,B
C,B
C,_
D,C
B,B
A,_
C,D
C,D
D,D
B,B
D,_
C,_
A,A
C,C
A,_
A,_
A,_
B,_
A,A
D,A
C,B
C,C
C,A
C,A
D,D
C,C
D,B
B,B
B,B
C,_
C,_
A,A
B,B
B,B
A,_
C,B
D,A
A,_
D,D
A,_
D,_
B,_
C,_
B,_
D,D
D,_
D,_
D,A
A,A
B,B
B,B
C,A
C,A
A,A
D,A
B,B
A,D
C,A
C,C
B,A
A,B
A,B
B,A
A,A
D,_
D,_
A,_
C,_
B,_
A,A
D,_
D,_
C,D
